Comment;Tag
 ;O
e;O
 ;O
bengi;O
 ;O
melekan;O
 ;O
ngisi;O
 ;O
banyu;O
 ;O
jam;WAKTU
;O
12;WAKTU
 ;O
banter;KELUHAN
 ;O
lek;O
 ;O
jam;O
 ;O
1;WAKTU
 ;O
pagi;WAKTU
 ;O
keatas;O
 ;O
9/19/2023;WAKTU
;O
 ;O
10:08:40;WAKTU
 ;O
PM;WAKTU
 ;O
pradah;O
 ;O
kalikendal;WILAYAH
 ;O
kec;O
 ;O
dukuh;WILAYAH
 ;O
pakis;WILAYAH
 ;O
3;WAKTU
 ;O
hari;O
 ;O
enggak;O
 ;O
keluar;KELUHAN
 ;O
blas;O
 ;O
banyu;O
 ;O
e;O
 ;O
maksud;O
 ;O
tujuannya;O
 ;O
iku;O
 ;O
bagaimana;O
 ;O
bossssss;O
 ;O
9/20/2023;WAKTU
;O
 ;O
07:08:32;WAKTU
 ;O
AM;WAKTU
 ;O
halo;O
 ;O
pdam;O
 ;O
pagi;WAKTU
 ;O
air;O
 ;O
enggak;O
 ;O
pernah;O
 ;O
naik;O
 ;O
debit;KELUHAN
 ;O
kecil;KELUHAN
 ;O
entar;O
 ;O
alasannya;O
 ;O
banyak;O
 ;O
menggunakan;O
 ;O
dulu;O
 ;O
selalu;O
 ;O
alasannya;O
 ;O
lokasi;O
 ;O
tapsir;O
 ;O
9/20/2023;WAKTU
;O
 ;O
08:18:50;WAKTU
 ;O
AM;WAKTU
 ;O
mbok;O
 ;O
air;O
 ;O
umbulan;O
 ;O
salurkan;O
 ;O
rakyat;O
 ;O
jelata;O
 ;O
jangan;O
 ;O
orang;O
 ;O
kayamatikan;O
 ;O
ipam;O
 ;O
karangpilang;WILAYAH
 ;O
ngagel;WILAYAH
 ;O
wong;O
 ;O
air;O
 ;O
butek;KELUHAN
 ;O
kasih;O
 ;O
rakyat;O
 ;O
bening;KELUHAN
 ;O
umbulan;O
 ;O
jual;O
 ;O
orang;O
 ;O
kayagiiran;O
 ;O
cari;O
 ;O
suara;O
 ;O
pilkada;O
 ;O
pilpres;O
 ;O
ngemis;O
 ;O
suara;O
 ;O
kerakyat;O
 ;O
miskin;O
 ;O
9/20/2023;WAKTU
;O
 ;O
08:30:17;WAKTU
 ;O
AM;WAKTU
 ;O
candi;WILAYAH
 ;O
lontar;WILAYAH
 ;O
banyune;O
 ;O
cilik;KELUHAN
 ;O
keruh;KELUHAN
 ;O
sisan;O
 ;O
monggo;O
 ;O
tindak;O
 ;O
lanjuti;O
 ;O
9/20/2023;WAKTU
;O
 ;O
11:19:14;WAKTU
 ;O
AM;WAKTU
 ;O
iki;O
 ;O
pakuwon;WILAYAH
 ;O
air;O
 ;O
mati;KELUHAN
 ;O
enggak;O
 ;O
urus;KELUHAN
 ;O
ta;O
 ;O
9/20/2023;WAKTU
;O
 ;O
09:40:40;WAKTU
 ;O
PM;WAKTU
 ;O
manukan;WILAYAH
 ;O
lor;WILAYAH
 ;O
airnya;O
 ;O
enggak;O
 ;O
nyalaa;KELUHAN
 ;O
minn;O
 ;O
3;WAKTU
;O
hari;O
 ;O
9/24/2023;WAKTU
;O
 ;O
11:58:22;WAKTU
 ;O
AM;WAKTU
 ;O
nyala;KELUHAN
 ;O
hari;O
 ;O
min;O
 ;O
hampir;O
 ;O
seminggu;O
 ;O
dibantu;O
 ;O
9/26/2023;WAKTU
;O
 ;O
09:41:28;WAKTU
 ;O
AM;WAKTU
 ;O
min;O
 ;O
10/18/2023;WAKTU
;O
 ;O
05:48:07;WAKTU
 ;O
PM;WAKTU
 ;O
min;O
 ;O
ir;WILAYAH
 ;O
soekarno;WILAYAH
 ;O
hatta;WILAYAH
 ;O
mati;O
 ;O
kak;O
 ;O
info;O
 ;O
info;O
 ;O
9/26/2023;WILAYAH
;O
 ;O
06:38:02;WAKTU
 ;O
AM;WAKTU
 ;O
mohon;O
 ;O
info;O
 ;O
kok;O
 ;O
pagi2;O
 ;O
daerah;O
 ;O
wiyung;WILAYAH
 ;O
dimatikan;KELUHAN
 ;O
airnya;O
 ;O
apa;O
 ;O
perbaikan;KELUHAN
 ;O
soalnya;O
 ;O
butuh2nya;O
 ;O
air;O
 ;O
9/26/2023;WAKTU
;O
 ;O
09:49:41;WAKTU
 ;O
AM;WAKTU
 ;O
baik;O
 ;O
terima;O
 ;O
kasih;O
 ;O
banyak;O
 ;O
infonya;O
 ;O
semoga;O
 ;O
kedepannya;O
 ;O
lancar;KELUHAN
 ;O
n;O
 ;O
sukses;O
 ;O
10/04/2023;WAKTU
;O
 ;O
01:38:56;WAKTU
 ;O
AM;WAKTU
 ;O
pratamaaa;O
 ;O
matiiiiii;KELUHAN
 ;O
manehhhhh;O
 ;O
mattttiiiiii;KELUHAN
 ;O
manehhhhhhh;O
 ;O
matihhhhh;KELUHAN
 ;O
terus;O
 ;O
mendadak;KELUHAN
;O
mendadakkkkkk;KELUHAN
 ;O
teros;KELUHAN
;O
terossssss;KELUHAN
 ;O
aeeeee;O
 ;O
jam;O
 ;O
1300;WAKTU
 ;O
matiiiiiiii;KELUHAN
 ;O
banyu;O
 ;O
wes;O
 ;O
kotor;KELUHAN
 ;O
ambune;KELUHAN
 ;O
enggak;O
 ;O
uenakkkk;KELUHAN
 ;O
pol;O
 ;O
ben;O
 ;O
dino;O
 ;O
gae;O
 ;O
banyu;O
 ;O
kotor;KELUHAN
 ;O
isuk;O
 ;O
kuras;O
 ;O
bak;O
 ;O
penuh;O
