Comment,Tag
 ,O
hari,O
 ,O
kasih,O
 ,O
air,O
 ,O
keruh,KELUHAN
 ,O
bau,KELUHAN
 ,O
hampir,O
 ,O
sebulan,O
 ,O
katanya,O
,O
perbaikan,O
,O
tapi,O
 ,O
enggak,O
 ,O
kelar,O
 ,O
air,O
 ,O
bersih,O
 ,O
cuma,O
 ,O
tengah,O
 ,O
malam,O
 ,O
subuh,O
 ,O
bergadang,O
 ,O
tiap,O
 ,O
hari,O
 ,O
mendapatkan,O
 ,O
air,O
 ,O
bersih,O
,O
sedangkan,O
 ,O
tagihan,O
 ,O
tiap,O
 ,O
bulan,O
 ,O
makin,O
 ,O
mahal,KELUHAN
,O
awas,O
 ,O
kalo,O
 ,O
bulan,O
 ,O
tagihan,KELUHAN
 ,O
air,O
 ,O
tetap,O
 ,O
tinggi,KELUHAN
 ,O
enggak,O
 ,O
mau,O
 ,O
bayar,O
,O
enak,O
 ,O
tagihan,KELUHAN
 ,O
air,O
 ,O
makin,O
 ,O
tinggi,KELUHAN
 ,O
air,O
 ,O
keruh,KELUHAN
 ,O
bau,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
6:24:52,WAKTU
 ,O
PM,WAKTU
 ,O
min,O
 ,O
airnya,O
 ,O
keruh,KELUHAN
 ,O
banget,O
 ,O
kecil,O
 ,O
sekali,O
 ,O
volumenya,O
 ,O
daerah,O
 ,O
kedurus,WILAYAH
 ,O
1,O
 ,O
mingguan,O
 ,O
keruh,KELUHAN
 ,O
sekali,O
 ,O
kecokelatan,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
6:52:35,WAKTU
 ,O
PM,WAKTU
 ,O
min,O
 ,O
perbaikan,O
 ,O
daerah,WILAYAH
 ,O
kedurus,WILAYAH
 ,O
airnya,O
 ,O
sangat,O
 ,O
keruh,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
7:04:36,WAKTU
 ,O
PM,WAKTU
 ,O
min,O
 ,O
aku,O
 ,O
sore,O
 ,O
serasa,O
 ,O
mandi,O
 ,O
pakai,O
 ,O
air,O
 ,O
teh,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
7:28:37,WAKTU
 ,O
PM,WAKTU
 ,O
min,O
 ,O
pdam,O
 ,O
rumahku,O
 ,O
dijalan,WILAYAH
 ,O
raya,WILAYAH
 ,O
mastrip,WILAYAH
 ,O
kebraon,WILAYAH
 ,O
kec,WILAYAH
 ,O
karangpilang,WILAYAH
 ,O
ket,O
 ,O
jam,WAKTU
 ,O
1530,WAKTU
 ,O
dino,O
 ,O
iki,O
 ,O
saiki,O
 ,O
banyune,O
 ,O
enggak,KELUHAN
 ,O
mengalir,KELUHAN
 ,O
blassss,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
7:59:30,WAKTU
 ,O
PM,WAKTU
 ,O
seenaknya,O
 ,O
sendiri,O
 ,O
kalo,O
 ,O
tagihan,KELUHAN
 ,O
tiap,O
 ,O
bulan,O
 ,O
mahalin,KELUHAN
 ,O
air,O
 ,O
kasih,O
 ,O
air,O
 ,O
keruh,KELUHAN
 ,O
bau,KELUHAN
,O
di,O
 ,O
surabaya,WILAYAH
 ,O
tiap,O
 ,O
perbaikan,O
 ,O
lambat,KELUHAN
 ,O
penyelesainya,O
 ,O
warga,O
 ,O
jadikan,O
 ,O
korbanliat,O
 ,O
penggalian,O
 ,O
pipa,O
 ,O
surabaya,WILAYAH
 ,O
utara,WILAYAH
 ,O
mangkrak,KELUHAN
 ,O
enggak,O
 ,O
sat,O
 ,O
set,O
 ,O
dalma,O
 ,O
bekerja,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:16:21,WAKTU
 ,O
PM,WAKTU
 ,O
ternyata,O
 ,O
enggak,O
 ,O
sendirian,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:16:45,WAKTU
 ,O
PM,WAKTU
 ,O
enggak,O
 ,O
sendirian,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:19:47,WAKTU
 ,O
PM,WAKTU
 ,O
iya,O
 ,O
pak,O
 ,O
rasa2nya,O
 ,O
kayak,O
 ,O
air,O
 ,O
selokan,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:31:15,WAKTU
 ,O
PM,WAKTU
 ,O
iya,O
 ,O
daerah,WILAYAH
 ,O
karang,WILAYAH
 ,O
pilang,WILAYAH
 ,O
gang,WILAYAH
 ,O
kawi,WILAYAH
 ,O
belakang,O
 ,O
lotte,WILAYAH
 ,O
mart,WILAYAH
 ,O
beberapa,O
 ,O
hari,WAKTU
 ,O
mohon,O
 ,O
info,O
 ,O
apa,O
 ,O
perbaikan,O
 ,O
kira,O
-,O
kira,O
 ,O
berapa,O
 ,O
lama,O
 ,O
airnya,O
 ,O
keruh,KELUHAN
 ,O
terus,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:42:26,WAKTU
 ,O
PM,WAKTU
 ,O
heh,O
 ,O
air,O
 ,O
pdam,O
 ,O
jadi,O
 ,O
air,O
 ,O
kopi,KELUHAN
 ,O
daerah,WILAYAH
 ,O
kedurus,WILAYAH
 ,O
langsung,O
 ,O
perbaikan,O
 ,O
lapangan,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:42:58,WAKTU
 ,O
PM,WAKTU
 ,O
daerah,O
 ,O
kedurus,WILAYAH
 ,O
air,O
 ,O
keruh,KELUHAN
 ,O
kapan,O
 ,O
min,O
 ,O
enggak,O
 ,O
cuci,O
 ,O
piring,O
 ,O
enggak,O
 ,O
cuci,O
 ,O
baju,O
 ,O
enggak,O
 ,O
mandi,O
 ,O
air,O
 ,O
kayak,O
 ,O
air,O
 ,O
got,KELUHAN
 ,O
bayar,O
 ,O
tagihan,KELUHAN
 ,O
mahal,KELUHAN
 ,O
cuma,O
 ,O
buat,O
 ,O
air,O
 ,O
got,KELUHAN
 ,O
doang,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:55:04,WAKTU
 ,O
PM,WAKTU
 ,O
airr,O
 ,O
gottt,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
8:55:46,WAKTU
 ,O
PM,WAKTU
 ,O
jogoloyo,WILAYAH
 ,O
airnyaaa,O
 ,O
coklatttt,KELUHAN
 ,O
keruhh,KELUHAN
 ,O
9/5/2023,WAKTU
",",O
 ,O
9:02:33,WAKTU
 ,O
PM,WAKTU
 ,O
pusat,O
 ,O
masa,O
 ,O
enggak,O
 ,O
tau,O
 ,O
edaran,O
 ,O
kalo,O
 ,O
perbaikan,O
 ,O
jalan,WILAYAH
 ,O
mastrip,WILAYAH
 ,O
serius,O
 ,O
enggak,O
 ,O
tau,O
 ,O
pak,O
 ,O
pripun,O
 ,O
pak,O
 ,O
airnya,O
 ,O
keruh,KELUHAN
 ,O
mohon,O
 ,O
tl,O
 ,O
dinas,O
 ,O
terkait,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
10:06:44,WAKTU
 ,O
PM,WAKTU
 ,O
jawabane,O
 ,O
kok,O
 ,O
podo,O
 ,O
kabeh,O
 ,O
minaq,O
 ,O
wes,O
 ,O
laporan,O
 ,O
via,O
 ,O
call,O
 ,O
centerjawabane,O
 ,O
podobedane,O
 ,O
jawabane,O
 ,O
mek,O
 ,O
lisan,O
 ,O
tertulis,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
10:43:17,WAKTU
 ,O
PM,WAKTU
 ,O
daereh,O
 ,O
karangan,WILAYAH
 ,O
kodam,WILAYAH
 ,O
butek,KELUHAN
 ,O
min,O
 ,O
kapan,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
10:44:06,WAKTU
 ,O
PM,WAKTU
 ,O
bagaimana,O
 ,O
air,O
 ,O
sangat,KELUHAN
 ,O
keruh,KELUHAN
 ,O
sekarang,O
 ,O
pukul,O
 ,O
2242,WAKTU
 ,O
malah,O
 ,O
mati,KELUHAN
 ,O
nyala,KELUHAN
 ,O
sama,KELUHAN
 ,O
sekali,KELUHAN
 ,O
daerah,O
 ,O
kemlaten,WILAYAH
 ,O
dong,O
 ,O
bayar,O
 ,O
enggak,O
 ,O
pernah,O
 ,O
pelayanan,O
 ,O
informasi,O
 ,O
buat,O
 ,O
pelanggan,O
 ,O
diperbaiki,O
 ,O
segera,O
 ,O
cari,O
 ,O
solusi,O
 ,O
kasihan,O
 ,O
loh,O
 ,O
anak,O
 ,O
kecil,O
 ,O
lansia,O
 ,O
9/5/2023,WAKTU
",",O
 ,O
10:45:05,WAKTU
 ,O
PM,WAKTU
 ,O
taat,O
 ,O
bayar,O
 ,O
dinaikin,O
 ,O
harga,O
 ,O
kayak,O
 ,O
apapun,O
 ,O
tetap,O
 ,O
bayar,O
 ,O
diperbaiki,O
 ,O
sistem,O
 ,O
informasinya,O
 ,O
kerjanya,O
 ,O
terimakasih,O
 ,O
9/6/2023,WAKTU
",",O
 ,O
12:26:26,WAKTU
 ,O
AM,WAKTU
 ,O
malam,O
 ,O
kak,O
 ,O
kak,O
 ,O
air,O
 ,O
pdam,O
 ,O
taman,WILAYAH
 ,O
pondok,WILAYAH
 ,O
indah,WILAYAH
 ,O
sekarang,O
 ,O
air,O
 ,O
nya,O
 ,O
kok,O
 ,O
kecil,O
 ,O
kak,O
 ,O
9/6/2023,WAKTU
",",O
 ,O
4:25:46,WAKTU
 ,O
AM,WAKTU
 ,O
kalau,O
 ,O
perbaikan,O
 ,O
apa,O
 ,O
masalah,O
 ,O
pdam,O
 ,O
kasih,O
 ,O
pemberitahuan,O
 ,O
terlebih,O
