Comment;Tag
9/16/2023;WAKTU
,;O
 ;O
11:21:03;WAKTU
 ;O
AM;WAKTU
 ;O
aduh;KELUHAN
 ;O
min;O
 ;O
bogangin;O
 ;O
galian;O
 ;O
efeknya;O
 ;O
air;O
 ;O
jadi;O
 ;O
keruh;KELUHAN
 ;O
daerah;WILAYAH
 ;O
kedurus;WILAYAH
 ;O
9/19/2023;WAKTU
,;O
 ;O
6:10:38;WAKTU
 ;O
PM;WAKTU
 ;O
min;O
 ;O
mau;O
 ;O
tanya;O
 ;O
kalo;O
 ;O
pasang;O
 ;O
pipa;O
 ;O
baru;O
 ;O
memang;O
 ;O
enggak;O
 ;O
menyambung;O
 ;O
me;O
 ;O
meteran;O
 ;O
konsumen;O
 ;O
punya;O
 ;O
enggak;O
 ;O
pipa;O
 ;O
baru;O
 ;O
menyambung;O
 ;O
meteran;O
 ;O
hari;O
 ;O
respon;O
 ;O
datang;O
 ;O
1x;O
 ;O
senin;WAKTU
 ;O
sore;WAKTU
 ;O
kemarin;WAKTU
 ;O
ketemu;O
 ;O
kalo;O
 ;O
pasang;O
 ;O
pipa;O
 ;O
baru;O
 ;O
nya;O
 ;O
enggak;O
 ;O
menyambung;O
 ;O
meteram;O
 ;O
kelanjutannya;O
 ;O
9/19/2023;WAKTU
,;O
 ;O
9:01:04;WAKTU
 ;O
PM;WAKTU
 ;O
id;O
 ;O
pelanggam;O
 ;O
3060262;O
 ;O
telp;O
 ;O
call;O
 ;O
centre;O
 ;O
berkali2;O
 ;O
solusi;O
 ;O
9/20/2023;WAKTU
,;O
 ;O
5:37:43;WAKTU
 ;O
AM;WAKTU
 ;O
kepastiannya;O
 ;O
kapan;O
 ;O
pipa;O
 ;O
dipasang;O
 ;O
ganti;O
 ;O
pipa;O
 ;O
pemberitahuan;O
 ;O
sekarang;WAKTU
 ;O
malah;KELUHAN
 ;O
pipanya;O
 ;O
tersambung;O
 ;O
meteran;O
 ;O
telepon;O
 ;O
call;O
 ;O
center;O
 ;O
cuma;O
 ;O
bilang;O
 ;O
disampaikan;O
 ;O
petugas;O
 ;O
datang;O
 ;O
terkesan;O
 ;O
lepas;KELUHAN
 ;O
tangan;O
 ;O
katanya;O
 ;O
beda;O
 ;O
tugas;O
 ;O
jujur;O
 ;O
kecewa;KELUHAN
 ;O
berat;KELUHAN
 ;O
sama;O
 ;O
pdam;O
 ;O
kali;O
 ;O
padahal;KELUHAN
 ;O
dulu2;WAKTU
 ;O
gercep;O
 ;O
banget;O
 ;O
terkesan;O
 ;O
lepas;KELUHAN
 ;O
tangan;O
 ;O
semua;O
 ;O
9/20/2023;WAKTU
,;O
 ;O
9:04:54;WAKTU
 ;O
AM;WAKTU
 ;O
terima;O
 ;O
kasih;O
 ;O
atas;O
 ;O
bantuan;O
 ;O
gercepnya;O
 ;O
air;O
 ;O
mengalir;O
 ;O
sekarang;O
 ;O
mohon;O
 ;O
maaf;O
 ;O
kalo;O
 ;O
kata;O
-;O
kata;O
 ;O
berkenan;O
 ;O
kemarin;WAKTU
 ;O
terima;O
 ;O
kasih;O
 ;O
banyak;O
 ;O
pdam;O
 ;O
team;O
 ;O
9/27/2023;WAKTU
,;O
 ;O
10:15:02;WAKTU
 ;O
AM;WAKTU
 ;O
daerah;O
 ;O
pakal;WILAYAH
 ;O
merata;O
 ;O
9/27/2023;WAKTU
,;O
 ;O
10:19:16;WAKTU
 ;O
AM;WAKTU
 ;O
manukan;WILAYAH
 ;O
lor;WILAYAH
 ;O
2;O
 ;O
raya;WILAYAH
 ;O
air;O
 ;O
mati;KELUHAN
 ;O
senin;WAKTU
 ;O
hari;O
 ;O
9/29/2023;WAKTU
,;O
 ;O
1:28:04;WAKTU
 ;O
PM;WAKTU
 ;O
komplain;KELUHAN
 ;O
air;O
 ;O
mati;KELUHAN
 ;O
kemarin;WAKTU
 ;O
pagi;WAKTU
 ;O
sekarang;WAKTU
 ;O
datang;O
 ;O
telepon;O
 ;O
bbbrp;O
 ;O
kali;O
 ;O
follow;O
 ;O
up;O
 ;O
tetap;O
 ;O
datang;O
 ;O
9/29/2023;WAKTU
,;O
 ;O
